"序号","图像存储名称","画作名称","作者姓名","作者出生年份","作者出生地","作者流派","创作年代","创作朝代","实际尺寸","收藏机构","分类","题材","画作流派","风格","色彩","构图","意境","笔法","墨法","绘画材料","颜料","印章","文化符号","文本生成","音乐情境生成","收集平台"
"1778","51(70)","书画合璧卷","薛明益","未明确记录","未明确记录","明代书法家、画家，薛明益以楷书著称，钱榖擅长绘画","万历庚子年（1600年）","明代","28×142cm；28×206cm","未明确记录","人物画","书法与绘画合璧，内容包括《前赤壁赋》《后赤壁赋》等","明代文人书画流派","书法工整，绘画风格清新雅致，具有文人气息","以墨色为主，可能有淡彩设色，色彩清新淡雅","手卷形式，书法与绘画交替出现，布局合理","清逸、高雅，传递出文人的闲适与宁静的氛围","书法笔法工整，绘画线条流畅，细节刻画生动","淡墨与浓墨相结合，层次丰富，墨色变化自然","纸本","传统国画颜料","未明确记录","款识 钱榖 题跋 （一）万历庚子冬日河东薛明益书 （二）庚子十月廿有四日夜坐无寐偶得筪中所留双林禅师乞书纸乘兴书前赤壁一过后尚余其半因并録后赋聊用遣寂殊不工结构也古狂生薛明益","这幅作品的构图展现出一种自然与人文的和谐结合，画面中山水相依的布局，强调了空间的广阔和平衡。线条质量细腻柔和，以流畅而坚定的笔触描绘树木和岩石，赋予画面深邃的立体感。作品中人物的动态与姿态自然生动，行走的小人物通过弧形的线条表现出悠然自得的神情，具有强烈的动感。尺度与比例精确掌握，前景与远景之间的过渡自然融洽，使观察者的视线柔和流畅。象征与图像方面，画中松树和山岩象征着自然的永恒和内在的宁静，传统诗文与画面的结合则暗示了文化传承的重要性。","本乐曲意境幽静，富有诗意，以古琴、箫为乐器，采用中国传统古典音乐风格，节奏舒缓流畅，表现云雾缭绕的山林世外桃源和书香世外桃源的主题。",""
"1779","51(71)","秋岩观瀑图","谢时臣","未明确记录","苏州","明代画家，受吴门画派影响，风格秀逸洒脱，笔法灵活多变","嘉靖戊申（1548年）","明代","293×130cm","未明确记录","人物画","山水画，描绘秋日山岩观瀑的场景","吴门画派","构图雄强缜密，笔势纵横驰骋，笔法苍古，气势磅礴","以墨色为主，可能有淡彩设色，色彩清新淡雅","立轴形式，山峰与古木呼应，以水和云气衔接，层次分明","雄壮之中蕴蓄柔情，传递出自然的磅礴气势与宁静氛围","灵活多变，牛毛、豆瓣、披麻、解索、斧劈、折带等皴法并用","淡墨与浓墨相结合，层次丰富，墨色变化自然","纸本或绢本（未明确记录）","传统国画颜料","皖北夏氏味古斋藏真（朱文）、时臣之印（白文）、踈性后学（白文）","款识 秋嵓观瀑 嘉靖戊申六月法李成笔意，樗仙谢时臣 钤印 皖北夏氏味古斋藏真（朱文） 时臣之印（白文） 踈性后学（白文）","这幅作品在构图上呈现出流畅且极具动态的视觉推进，从图中下方的人物与山石开始，蜿蜒的小径引导视线向上，直至壮观的瀑布。线条质量卓越，细腻而清晰的笔触蕴含力量，与自然的壮丽融为一体。肌理上，画作通过多层笔法呈现岩石与树木的质感，传递出时间的沉淀。透视手法运用传统的三远法，增添景深感，营造一派深邃悠远的氛围。明暗对比通过水墨的浓淡表现，使得画面层次分明，光影效果恰到好处地突出了自然景观的雄伟与宁静。","此乐曲意境幽静，宜用古琴、箫，以道教禅修乐风，以舒缓、流畅的节奏，表现云雾缭绕的山间仙境。",""
"1780","51(72)","渭水访贤图","王问","1497年","江苏无锡","明代文人画家，风格萧闲疏放，点染山水、花鸟皆精","未明确记录，推测为嘉靖年间（16世纪中叶）","明代","113×65cm","文物商店旧藏","人物画","山水人物画，描绘渭水访贤的场景","明代文人画流派","书法类米芾，又似黄庭坚，绘画风格萧闲疏放，冲然自得","以墨色为主，可能有淡彩设色，色彩清新淡雅","立轴形式，画面开阔，人物与自然环境相结合","清逸、高雅，传递出文人的闲适与宁静的氛围","线条流畅，笔触细腻，细节刻画生动","淡墨与浓墨相结合，层次丰富，墨色变化自然","纸本或绢本（未明确记录）","传统国画颜料","未明确记录","未明确记录","在这幅画作中，构图以对角线方式展开，树木位于画面左上方，而人物则集中于右侧，形成一种平衡。线条质量细腻简练，特别是在树的枝干与人物服饰的褶皱上表现出变化和层次。人物的动态与姿态生动，呈现出交流中的互动感，伴随着自然的流畅性。尺度与比例处理得当，人物与环境之间形成和谐的对比，突出人物的重要性。象征与图像则通过松树等传统意象传达出高尚品格与贤者访谈的主题，具有深刻的文化内涵。","本乐曲意境诗意幽静，以古琴、箫为乐器，采用中国传统古典音乐风格，节奏舒缓流畅，表现宁静自然中书香四溢的景象。",""
"1781","51(73)","羲之笼鹅图","徐渭","1521年","浙江绍兴","明代画家，与陈淳并称“青藤、白阳”，风格泼墨写意，笔墨率意灵动","约50岁之前（推测为1571年之前）","明代","90.5×38cm","曾为吴铁声、黄葆戉收藏","人物画","人物画，描绘王羲之山阴道上书扇换鹅的故事","明代文人画流派","泼墨写意，笔墨率意灵动，富有情趣","以墨色为主，色彩清新淡雅","立轴形式，画面紧凑，人物与场景相互呼应","清逸、高雅，传递出文人的闲适与自然的和谐氛围","笔触豪放，线条流畅，细节刻画生动","淡墨与浓墨相结合，层次丰富，墨色变化自然","纸本","传统国画颜料","徐渭之印（白文）、天池山人（白文）","款识 右军本清真，潇洒出风尘。山阴遇羽客，邀此好鹅宾。扫素写道经，笔精妙入神。书罢笼鹅去，何曾别主人。天池山人 钤印 徐渭之印（白文）、天池山人（白文） 签条 徐天池右军笼鹅图真迹。吴铁声珍藏","此画中，线条质量呈现出一种生动且自由的笔触，具有强烈的表现力，描绘草木与人物时显得相当流畅自然。构图上采用了传统的留白技法，使主体与背景在视觉上形成有效的对比和平衡。人物的动态与姿态被刻画得极具生气，右下角坐姿与左侧奔跑的姿态对比鲜明，增添了整幅画的动感。明暗对比通过墨色的浓淡以及细腻的笔触表现出层次感，使画面富有立体感。尺度与比例处理得当，除了图中人物生动而真实，使观者能通过画面沉浸于古代文人雅趣之中。","本乐曲意境宁静致远，富有诗意，以古琴、箫为乐器，采用中国传统古典音乐风格，节奏舒缓流畅，表现书生与小孩在自然环境中和谐相处的宁静场景。",""
"1782","51(74)","歌诗图","陈洪绶","1597年","浙江诸暨","明末清初画家，与崔子忠齐名，号“南陈北崔”，风格高古、精妙","约1646年之后（陈洪绶49岁之后）","明末清初","105×49cm","原华东局秘书长兼机关党委书记李宇超旧藏","人物画","人物画，描绘高士持卷诵咏，二女伴奏的场景","明末清初文人画流派","高古游丝描，笔法紧劲绵密，设色淡雅，气息古穆","以淡彩为主，色彩清新淡雅","立轴形式，画面紧凑，人物与场景相互呼应","清逸、高雅，传递出文人的闲适与宁静的氛围","勾以高古游丝描，线条灵动，凝聚力量，体现人物精神的高古气质","淡墨与淡彩相结合，层次丰富，墨色变化自然","绢本","传统国画颜料","陈洪绶印（白文）","款识 □迟洪绶画于溪亭 钤印 陈洪绶印（白文） 签条 明陈老莲歌诗图。越公同志鉴藏，属稚柳题。钤印：稚柳（朱文） 鉴藏印 倚琴楼藏（白文）","这幅画的构图注重层次感，通过人物位置的错落排列，营造出一种由下至上的空间延伸效果。画中的线条细腻流畅，尤其是在人物衣物的描绘上，线条如行云流水般自然。人物的动态与姿态表现出一种静谧的优雅，似乎正在进行一种轻声细语的交流。在尺度与比例上，各元素的安排井然有序，形成视觉上的平衡。色彩搭配则以温和的淡雅色调为主，突显出画作整体的古典美感，赋予观者宁静安详的视觉体验。","本乐曲意境宁静致远，富有诗意，以古琴、箫为乐器，采用中国传统古典音乐风格，节奏舒缓流畅，表现文人闲话诗情画意的宁静景象。",""
"1783","51(75)","米芾拜石","郑岱","未明确记录","浙江杭州","清代画家，与华嵒为诗画友，风格苍劲，山水尤佳","1698年（戊寅年）","清代","139×59cm","未明确记录","人物画","人物画，描绘米芾拜石的故事","清代文人画流派","笔法苍劲，风格清新雅致，人物刻画生动","以墨色为主，可能有淡彩设色，色彩清新淡雅","立轴形式，画面紧凑，人物与自然环境相结合","清逸、高雅，传递出文人的闲适与自然的和谐氛围","线条流畅，笔触苍劲，细节刻画生动","淡墨与浓墨相结合，层次丰富，墨色变化自然","纸本或绢本（未明确记录）","传统国画颜料","郑岱（白文）、在东（白文）","款识 戊寅初秋，澹泉郑岱用指写于和鸣书屋 钤印 郑岱（白文）、在东（白文）","这幅画作的构图巧妙地利用垂直与水平线条的对比，形成视觉上的稳定与平衡。线条质量细腻流畅，特别是在树叶和人物衣袍的刻画上，展现了细致入微的笔触。人物姿态富有动感，前倾的身体与微微曲起的腿部给人以敬拜的动态，传达出内心的虔诚。尺度与比例经过精心设计，主次人物的大小和树石的比重合理分布，增强了画面的层次感和空间感。通过画面中的树石及桥的象征性图像，画作在自然与人物之间建立了一种和谐美好的关系，蕴含深厚的人文情怀。","这首乐曲的意境是宁静而富有诗意的，应以古琴、箫等乐器，采用中国传统古典音乐风格，节奏舒缓流畅，表现人们在雄伟的树荫下，日常生活的宁静田园景象。",""
"1784","51(76)","一路寒山万木中","杨文聪","1594年","贵州贵筑","明代画家，“画中九友”之一，风格融合宋元之长","崇祯乙卯年（1635年）","明代","135×34cm","未明确记录","人物画","山水画，描绘寒山万木的景象","明代文人画流派","有宋人之骨力去其结，有元人之风雅去其佻，出入巨然、惠崇之间","以墨色为主，可能有淡彩设色，色彩清新淡雅","立轴形式，画面开阔，山峦与树木错落有致","清逸、高雅，传递出自然的宁静与深远的意境","线条流畅，笔触细腻，细节刻画生动","淡墨与浓墨相结合，层次丰富，墨色变化自然","纸本或绢本（未明确记录）","传统国画颜料","杨文聪","款识 崇祯乙卯重阳后三日，龙友杨文聪 钤印 杨文聪","这幅画作通过巧妙的构图将观者的目光引入幽深的山林。画面中线条流畅，既有坚毅的山体轮廓，又有细腻的树木枝桠，表现出冷峻与生机的对比。明暗之间的恰当地运用，使得景物层次分明，增加了画面的纵深感。同时，作品中尺度与比例的掌控，让远景山峰和近景人物相得益彰，而塔楼的存在则在灵动中增添了象征意义，不仅丰富了视觉图像，也引发了更深层次的哲思。","这首乐曲的意境是宁静、冥想的，应以古琴、箫等乐器演奏，采用中国传统古典风格，节奏舒缓流畅，表现云雾缭绕的山间仙境景象。",""
"1785","51(77)","松山高士图","倪元璐","1593年","浙江上虞","明代画家，风格雄深高浑，笔墨苍润古雅","天启元年（1621年）","明代","120×52cm","未明确记录，曾为庞莱臣、邓氏等收藏","人物画","山水人物画，描绘高士在松山中的场景","明代文人画流派","山皆崚嶒兀奡，林木苍莽葱郁，皴法喜用大、小斧劈，风格雄浑古雅","以墨色为主，可能有淡彩设色，色彩清新淡雅","立轴形式，画面开阔，山峦与树木错落有致，人物与自然环境相结合","清逸、高雅，传递出文人的闲适与自然的和谐氛围","线条流畅，笔触苍劲，细节刻画生动","淡墨与浓墨相结合，层次丰富，墨色变化自然","纸本或绢本（未明确记录）","传统国画颜料","元璐之印、鸿宝","款识 天启元年九月五日，元璐 钤印 元璐之印、鸿宝 鉴藏印 庞莱臣珍藏印、盱江邓氏珍藏书画印、金川刘氏收藏书画之章、周氏宗种堂珍藏印、罗氏六湖","这幅画通过精巧的构图引导观者的视线，从画面底部的点景人物渐次上升到峭立的山岩。线条质量细腻且富有表现力，不论是描绘松树的细枝，还是山石的轮廓，都透出画者娴熟的工笔技艺。人物的尺度与比例在整幅画面中显得十分和谐，小巧的身影在宏伟的自然背景中突显出对比。象征与图像的运用尤为明显，松树和山石不仅是自然景观的再现，更是高士品格的象征。整体的明暗对比适度，利用墨色的浓淡变化，增强了画面的层次感和深邃感。","本乐曲的意境是宁静、沉思的，应以古琴、箫等乐器，采用中国传统古典音乐风格，节奏舒缓流畅，表现圣人站在静谧山林中的情景，给人一种平和自省、与自然和谐相处的感觉。",""
"1786","51(78)","山阴牧马图","赵雍","未明确记录","吴兴（今浙江湖州）","元代画家，赵孟頫之子，继承赵孟頫画风，风格古雅清新","至正五年（1345年）","元代","119×44cm","未明确记录","人物画","山水人物画，描绘山阴牧马的场景","元代文人画流派","继承赵孟頫画风，笔法细腻，设色古雅，风格清新","以淡彩为主，色彩清新淡雅","立轴形式，画面开阔，人物与自然环境相结合","清逸、高雅，传递出自然的宁静与文人的闲适氛围","线条流畅，笔触细腻，细节刻画生动","淡墨与淡彩相结合，层次丰富，墨色变化自然","纸本或绢本（未明确记录）","传统国画颜料","仲穆（上海博物馆编《中国书画家印鉴款识》P1357第二号印相符）、天水图书（上海博物馆编《中国书画家印鉴款识》P1357第四号印相符）","款识 至正五年冬十月仲穆 钤印 仲穆、天水图书","这幅画作展示了精妙的构图，场景纵向发展，自然元素由近至远层次分明，营造出广阔的视觉深度。线条质量上，画家采用细腻的笔触，勾勒出人物和马匹的轮廓，不仅流畅而且富有生命力，使得画面充满动感。动态与姿态上，画作捕捉了马匹和人物之间的互动，显得自然流畅，特别是马匹的姿势，传达出一种静中有动的活力。尺度与比例方面，不同元素之间的比例协调，前景与背景的结合自然，确保了画面的整体平衡感。形状处理上，画作中的山石、树木、人物和马匹错落有致，各具特征而又和谐统一，赋予画面浓厚的艺术感染力。","这首乐曲的意境是宁静而富有诗意的，应以古琴、箫等乐器，采用中国传统古典音乐风格，节奏舒缓流畅，表现云雾缭绕的山间宁静之旅的场景。",""
"1787","51(79)","临赵吴兴饮中八仙图 ","翟继昌","未明确记录","浙江嘉兴，居吴门（今江苏苏州）","清代画家，画承家学，风格古雅有致","癸酉年（1813年）","清代","34.5×1023.5cm","未明确记录","人物画","人物画，描绘“饮中八仙”的场景，临摹赵孟頫风格","清代文人画流派","山水苍润，晚岁仿吴镇、沈周，神韵差胜乃翁，古雅有致","以墨色为主，可能有淡彩设色，色彩清新淡雅","手卷形式，画面开阔，人物众多，场景丰富","清逸、高雅，传递出文人的闲适与自然的和谐氛围","线条流畅，笔触细腻，细节刻画生动","淡墨与淡彩相结合，层次丰富，墨色变化自然","纸本或绢本（未明确记录）","传统国画颜料","琴峰、墨癯、翟继昌印、天机所到、唯庚寅吾以降","钤印 琴峰、墨癯、翟继昌印、琴峰、天机所到、唯庚寅吾以降","这幅画作的构图呈现出一种流动性和连续性，通过巧妙安排的山水与人物来引导观者的目光。动态与姿态充满活力，人物在自然环境中的互动显得生动且自然，塑造出一种闲适而有节奏的氛围。线条质量细腻，但不过分强调轮廓，让画作具有轻盈的视觉体验。色彩搭配则温和自然，采用大量水墨和淡彩，营造出和谐的画面效果。象征与图像的运用巧妙地融合了传统的文化意涵，使画作充满雅趣，令人品味悠长。","此乐曲意境幽静，富有诗意，以古琴、箫为乐器，采用道教禅修乐风，节奏舒缓流畅，表现云雾缭绕的山间仙境景象。",""
"1788","51(80)","《高山下的花环》连环画稿","雷德祖","1943年","广西南宁","现代连环画家，擅长连环画、插图","1983年（根据出版年份推测）","现代","15×23cm×155","未明确记录","人物画","连环画，描绘《高山下的花环》故事场景","现代连环画流派","线条清晰，画面简洁，注重叙事性","以黑白为主，部分可能有淡彩设色","镜心形式，每幅画面独立，布局紧凑，适合连环画叙事","传递出故事的情感与情节，具有较强的感染力","线条流畅，细节刻画生动，适合连环画的表现形式","淡墨与浓墨相结合，层次分明，适合黑白连环画的表现","纸本","传统国画颜料或现代绘画颜料（未明确记录）","未明确记录","未明确记录","这幅画作以粗犷而富有张力的线条质量为特征，每一段线条都充分表达出情感与动作的力度。构图上，画面通过巧妙的分割与布局，使得每个图框内情节紧凑而不显拥挤，观者的视线得以顺畅流动。动态与姿态刻画细腻，人物动作自然而富有生气，仿佛可以感受到其中的紧张氛围。明暗对比处理精准，以深邃的阴影与高光相结合，塑造出强烈的立体感及戏剧性效果。尺度与比例经过细致考量，使得画面和谐美观，同时精准地传达出临场感。","这首乐曲的意境庄严、壮丽，运用战鼓、二胡、古筝等乐器，采用史诗般的战斗乐曲风格，节奏雄浑、气势磅礴，表现战争年代军人团结友爱、坚韧不拔的场景。",""
"1789","51(81)","缀玉清韵","程十发","1921年","上海","现代画家，擅长人物、花鸟、山水，风格清新雅致","壬午年（2002年）","现代","18.5×26cm×5","未明确记录","人物画","人物画，描绘京剧表演艺术家梅兰芳的经典剧目场景","现代文人画流派","笔法流畅，设色清新，注重人物神情和动态的捕捉","以淡彩为主，色彩清新雅致","手卷形式，共5帧，每帧独立成章，布局紧凑","清逸、高雅，传递出京剧艺术的韵味与梅兰芳的绝世风采","线条流畅，细节刻画生动，注重轮廓线和神情的表现","淡墨与淡彩相结合，层次分明，墨色变化自然","纸本","传统国画颜料","十发题记","题跋 原画十二页小册，为畹华大师逝世而作，发表于当时文汇报上，每日一幅，予日见残册当存，亦造化所赐也。物之不灭也，呵呵。壬午首夏，八十二翁程十发记 钤印 十发题记 引首 缀玉清韵。壬午夏日，程十","这幅画作中，动态与姿态极具表现力，人物的姿势与飘逸的衣物共同营造出一种流动的韵律感。线条质量方面，画家运用流畅而细腻的笔触，勾勒出人物的轮廓与细节，同时保持了一种优雅的松弛感。色彩搭配上，画作通过淡雅的色调营造出一种恬静的氛围，色彩之间的和谐搭配恰到好处。构图上，各个元素巧妙配置，主次分明，视线引导自然。人物与背景中的形状处理精细，衣纹的安排及物件的细致描绘，赋予整个画面宁静中带有生动的特质。","本乐曲意境诗意宁静，以古筝、箫为乐器，采用中国传统古典乐风，节奏舒缓流畅，表现人物身着传统服饰，举止优雅，举止文雅和谐的场景。画中人物形象亲切细腻，营造出一种永恒宁静的氛围，非常适合传达对中国历史文化和艺术的细腻欣赏。",""
"1790","51(82)","梁山三十六天罡像","文徵明","1470年","江苏苏州","明代文人画家，擅长人物、山水、花鸟，风格清新雅致","未明确记录","明代","20×16cm×36","未明确记录，曾为乾隆、嘉庆等皇室收藏","人物画","人物画，描绘《水浒传》中梁山三十六天罡的场景","明代文人画流派","笔法细腻，设色淡雅，人物刻画生动，风格清新雅致","以淡彩为主，色彩清新淡雅","册页形式，共36幅，每幅独立成章，布局紧凑","清逸、高雅，传递出人物的神态与故事的氛围","线条流畅，细节刻画生动，注重人物神情的表现","淡墨与淡彩相结合，层次分明，墨色变化自然","纸本或绢本（未明确记录）","传统国画颜料","文徵明印","题识 宋梁山三十六天罡图，徵明 钤印 文徵明印 鉴藏印 乾隆御宝、古稀天子、宜子孙、嘉庆御览之宝、墨林、耕云草堂、丛桂山房、侯擏、睥睨天地之间","这幅画作在构图上展现出精巧的均衡，人物被巧妙地分布在画面中，使每个形象都有独立的空间，同时形成整体的和谐。线条质量细腻流畅，笔触坚定而富有韧性，捕捉人物的内在特质。动态与姿态充满活力，人物的动作更显力道，展现出每个角色的独特性格。象征与图像的运用传达出丰富的文化内涵，强化了视觉故事。尺度与比例则精确无误，使每个人物的形象生动且具有真实感，呈现了匠心独运的艺术造诣。","本乐曲的意境活泼欢快，以二胡、琵琶、笛子等乐器为主，采用中国传统古典风格，节奏轻快，表现儿童进行各种活动的奇妙景象。",""
"1791","51(83)","婴戏图","黄增","未明确记录","长洲（今江苏苏州）","清代宫廷画家，擅长山水、人物，风格生动艳丽","乾隆三十五年（1770年）","清代","105.6×81cm","未明确记录，曾为章保世（江苏吴县人）旧藏","人物画","人物画，描绘儿童嬉戏的场景，具有富贵安和的气象","清代宫廷画派","生动艳丽，色彩丰富，具有典型的宫廷绘画风格","设色艳丽，色彩丰富，突出画面的富贵感","立轴形式，画面开阔，人物众多，布局合理","清逸、高雅，传递出儿童的天真与生活的和谐氛围","线条流畅，细节刻画生动，注重人物神情的表现","淡墨与浓墨相结合，层次分明，墨色变化自然","绢本（推测）","传统国画颜料","臣·增","钤印 臣·增 题识 臣黄增奉勅恭仿金廷标笔意 本幅乾隆皇帝（1711-1799）题 撷秀探芳各背携，那怜生意正萋萋。春园巧画群儿态，休说鄜州有戏泥。庚寅（1770年）夏日，御题 钤印","画作的构图巧妙地运用了明暗对比与空间分布，营造出一种生动而轻松的氛围。色彩搭配柔和且富有层次感，人物的衣着色彩相互映衬，与背景大面积的淡雅颜色形成对比，突显出人物的活泼与纯真。动态与姿态栩栩如生，孩子们的动作流畅且自然，展现出他们的玩耍情态。线条质量流畅细腻，用笔自由洗练，将树木和人物的轮廓表现得淋漓尽致。形状上，不同的姿势和面部表情通过细致描绘，增强了作品的趣味性和动态感。整体画面给人一种和谐与生动的视觉享受。","这首乐曲的意境奇幻而富有诗意，应以笛子、古筝等乐器，采用中国传统古典乐风，节奏轻快，表现孩子们在垂柳下活动，宁静而又活泼的园林景象。",""
"1792","51(84)","石也成金","石鲁","1919年","四川仁寿","现代画家，长安画派代表人物之一，风格豪放、独特","未明确记录，推测为20世纪中后期","现代","180×96.5cm","未明确记录","人物画","人物画，描绘采石工人劳作的场景","现代文人画流派","豪放之笔，夸张的形体，用线、点、面结合，充分发挥笔墨的形式功能和趣味","以墨色为主，可能有淡彩设色，色彩清新淡雅","立轴形式，画面开阔，人物形象饱满，布局合理","清逸、高雅，传递出劳动者的质朴与坚韧的精神","笔触豪放，线条流畅，细节刻画生动，注重人物神情的表现","淡墨与浓墨相结合，层次分明，墨色变化自然","纸本","传统国画颜料","石鲁","钤印 石鲁 款识 石也成金。石鲁","这幅作品在构图上采取消长交织的方式，将人物线条直中有曲，仿佛在一种无形中传递力量。动态与姿态上，人物肢体展开扬起，展现出明显的动势，给人以蓄势待发的感觉。线条质量略带粗犷，却不失细腻，荷重的笔触将人物肌肉构造清晰展现。明暗对比中，运用浓墨与留白相结合，突出人物的立体感和动作的力度感。色彩搭配则特别注重浅棕与白色的自然交融，营造出一种古朴坚毅的视觉印象。","这首乐曲的意境磅礴、动感十足，用中国传统的鼓乐和笛子，以史诗般的战斗乐风，节奏雄浑、气势磅礴，表现劳动、紧张的场面，体现出画中劳动者的活力与生机。",""
"1793","51(85)","松溪抚琴图","张大千","1899年","四川内江","近现代画家，风格多样，早期以仿古为主，后期自成一格","1940年前后","近现代","116×47cm","未明确记录","人物画","山水人物画，描绘高士在松溪中抚琴的场景","近现代文人画流派","清丽典雅，仿“云溪翁”钱选笔法，动与静的对比鲜明","以墨色为主，可能有淡彩设色，色彩清新淡雅","立轴形式，画面开阔，人物与自然环境相结合","清逸、高雅，传递出文人的闲适与自然的和谐氛围","线条流畅，笔触细腻，细节刻画生动，注重人物神情的表现","淡墨与浓墨相结合，层次丰富，墨色变化自然","纸本","传统国画颜料","张爰、张大千","题识 仿云溪翁笔写于袖海堂中，蜀郡张爰大千父 钤印 张爰、张大千 题签 天风海水。张玉题","0","本乐曲意境宁静致远，富有诗意，以古琴、箫为乐器，采用道教禅修风格，节奏舒缓流畅，表现云雾缭绕、古松环绕、文人静思的宁静景象。",""
"1794","51(86)","洛嫔","黄胄","1925年","河北蠡县","现代画家，以人物画著称，风格生动、质朴","1973年","现代","104×53cm","未明确记录","人物画","人物画，取材于曹植《洛神赋》，描绘洛神行走洛水的情景","现代人物画流派","生动、质朴，注重人物动态与神情的表现，赋予神话人物以内心情感","以淡彩为主，色彩清新淡雅","镜心形式，画面紧凑，人物居中，背景简洁，突出主体","清逸、高雅，传递出神话人物的灵动与文雅氛围","线条流畅，笔触细腻，细节刻画生动，注重人物动态的表现","淡墨与淡彩相结合，层次分明，墨色变化自然","纸本","传统国画颜料","梁、梁黄胄印","钤印 梁、梁黄胄印 款识 洛嫔。癸丑初夏于济南呆舍。为辛颖同志作。黄胄","0","本乐曲意境宁静，富有诗意，以古琴、箫为乐器，采用中国传统古典风格，节奏舒缓流畅，表现山水之间，一人独处的静谧景象，给人以内省与自然和谐的感觉。",""
"1795","51(87)","历代帝后图册","王振鹏","未明确记录","永嘉（今浙江温州）","元代画家，擅长界画，风格工致细腻","至大三年（1310年）至至正十年（1350年）之间","元代","31×48cm×10","未明确记录","人物画","人物画，描绘历代帝后的形象","元代宫廷画派","界画极工致，运笔和墨，豪分缕析，神气飞动，不为法拘","以墨色为主，可能有淡彩设色，色彩清新淡雅","册页形式，共10幅，每幅独立成章，布局紧凑","清逸、高雅，传递出帝后的威严与庄重氛围","线条流畅，笔触细腻，细节刻画生动，注重人物神情的表现","淡墨与浓墨相结合，层次分明，墨色变化自然","纸本或绢本（未明确记录）","传统国画颜料","逐斋（朱文）等押印多方、收藏印多方","款识 臣王振鹏百拜敬画谨书 钤印 逐斋（朱文）等押印多方、收藏印多方","这幅画作展现了精致的构图，每个画面都精心安排，以突出人物之间的层次关系。动态与姿态上，人物线条流畅，传递出一种静谧而富有尊严的氛围，同时通过巧妙的肢体语言展现了角色之间的微妙互动。色彩搭配以柔和的色调为主，典雅而不失庄重，凸显历史主题。线条质量细腻，勾勒出人物的面部表情与服饰细节，笔触柔和而富于韵律感。整体的尺度与比例精准，使得整幅画作在视觉上和谐统一，为观者提供了一种沉浸式的历史体验。","本乐曲意境诗意、宁静致远，以古琴、箫、琵琶等乐器为主，采用中国传统古典音乐风格，节奏舒缓流畅，表现宫廷生活、雅集的精致场景。",""
"1796","51(88)","百美图","唐寅","1470年","江苏吴县（今苏州）","明代画家，“吴门四家”之一，擅长山水、人物、花鸟，尤精仕女","未明确记录，推测为16世纪中叶","明代","28×412cm","未明确记录","人物画","人物画，描绘众多美女的场景","明代文人画流派","工笔细腻，设色艳丽，人物刻画生动，风格清新雅致","以艳丽的色彩为主，突出人物的华丽与细腻质感","手卷形式，画面开阔，人物众多，场景丰富，注重虚实相生","清逸、高雅，传递出文人的闲适与自然的和谐氛围","线条细腻流畅，工笔技法突出，细节刻画生动","淡墨与浓墨相结合，层次丰富，墨色变化自然","纸本或绢本（未明确记录）","传统国画颜料","伯虎（朱文）、学圃堂印（白文）","款识 晋昌唐寅 钤印 伯虎（朱文）、学圃堂印（白文） 鉴藏印 雪信（朱文）","这幅画作通过流畅而精妙的构图，将众多人物和景致有机地结合在一起，展现了一个生动而和谐的画面。每个角色的动态与姿态都被刻画得惟妙惟肖，女性的婀娜多姿与环境的自然和谐相映衬，散发出一种淡然而富有生气的美感。色彩搭配方面，运用淡雅的色调，避免了色彩的突兀和不协调，整体视觉效果宁静优美。线条展现出极高的质量，以流畅的笔触和细腻的表现力描绘出细节。整幅画作的尺度与比例拿捏得当，无论是人物的身形还是背景元素的配置，都凸显了画家的卓越技巧与艺术智慧。","本乐曲意境宁静而诗意，应以古琴、笛子、琵琶等乐器，采用中国传统古典乐风，节奏舒缓流畅，表现悠闲园林聚会的宁静景象。画中人物在绿荫掩映中，温和地互动，营造出一种宁静祥和的氛围，给人一种精致悠闲的生活方式的感觉。乐曲应采用柔和的旋律和柔和的和声，以反映风景中低调的优雅和宁静。",""
"1797","51(89)","搜山图","丁云鹏","1547年","休宁（今属安徽）","明代画家，擅长人物、佛像、山水，风格工整秀雅，晚年沉着古朴","未明确记录，推测为明代隆庆至天启年间（1567-1627年）","明代","画心40×384cm；题跋40×473c","未明确记录","人物画","人物画，描绘搜山的场景，可能与宗教或神话故事有关","明代文人画流派","早年画风工整秀雅，晚年沉着古朴，山水师法宋元诸家","以墨色为主，可能有淡彩设色，色彩清新淡雅","手卷形式，画面开阔，人物众多，场景丰富，注重虚实相生","清逸、高雅，传递出搜山场景的紧张与神秘氛围","线条流畅，笔触细腻，细节刻画生动，注重人物神情的表现","淡墨与浓墨相结合，层次丰富，墨色变化自然","纸本或绢本（未明确记录）","传统国画颜料","丁南羽","题识 圣华居士丁云鹏写 钤印 丁南羽","这幅画作展现出极其精妙的构图，通过横向画卷的形式，将观者的目光引导于场景的延展中，形成强烈的视觉引导。线条质量高超，运用了细腻和柔和的笔触，使得画面的各个部分互相交织，又层次分明。画中人物和动物的动态与姿态逼真，展现出动静结合的美感，仿佛在画面中流动。尺度与比例经过精确计算，使得主体与背景和谐共存。肌理则通过繁复的细节处理，给予山石、树木特殊的质感，使整个画面充满立体感与真实感。","本乐曲意境磅礴、动感十足，运用二胡、琵琶、古筝等乐器，采用中国传统古典乐曲风格，节奏雄浑、气势磅礴，表现热闹繁华的宫廷狩猎场景，展现出画中描绘的动感与生动。",""
